,Status,Sentence
10,fear,কেয়ামতের মাঠে তোমাদের ছাড়া নট।
11,angry,বাংলাদেশের নদীর ওপর ভারতীয় আগ্রাসনের বিরুদ্ধে ঐক্যবদ্ধ হোন
12,disgust,শফিক রেহমান এক জন পীর...............।। হা হহা হহহা
13,disgust,"নষ্টামি,"
14,angry,মরলেবুজবে ছাইয়ানঠকাকেবলে
15,surprise,কালো টাকা দিয়া সবকিছু কড়া জায়া
16,angry,ভন্ডামী শালীরা। অমুসলিম।
17,fear,"তাইতো সদা ব্যাস্ত প্রাচীন ধর্মের প্রসারে। মঙ্গোল শোভা যাত্রায় কোন? শিক্ষাটি পাই, যা থেকে মঙ্গোল আসবে!যেখানে পুতুলের মাধ্যমে দেবতাকর্তৃক মঙ্গলময় হবে বাংলাদেশ, এমন ধারনা পোশনকারীদের উপরি নির্ভর করছে এ দেশের সামগ্রিক কৃষ্টি! অথচ, অমঙ্গলকর সব কিছুই যেন গ্রাস করছে , অতীতের যতটুকু মৌলিক অর্জন।"
18,happy,"১৯৮৬ সালে চারুপীঠ নামের একটি প্রতিষ্ঠান যশোরে প্রথমবারের মতো নববর্ষ উপলক্ষে আনন্দ শোভাযাত্রার আয়োজন করে। যশোরের সেই শোভাযাত্রায় ছিল পাপেট, বাঘের প্রতিকৃতি, পুরানো বাদ্যসহ আরো অনেক শিল্পকর্ম। শুরুর বছরেই যশোরে সেই শোভাযাত্রা আলোড়ন তৈরি করে। যশোরের সেই শোভাযাত্রার উদ্যোক্তাদের একজন মাহবুব জামাল শামীম মাস্টার্স ডিগ্রি নিতে পরে ঢাকার চারুকলায় চলে আসেন। পরবর্তীতে যশোরের সেই শোভাযাত্রার আদলেই ঢাকার চারুকলা থেকে শুরু হয় বর্ষবরণ আনন্দ শোভাযাত্রা। https://bn.wikipedia.org/wiki/%E0%A6%AE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%B2_%E0%A6%B6%E0%A7%8B%E0%A6%AD%E0%A6%BE%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE"
19,surprise,"ঢাকা নয়, যশোরে প্রথম হয়েছিল মঙ্গল শোভাযাত্রা http://www.1newsbd.com/2016/04/11/140643"
20,disgust,"কিছু তথ্য সঠিক ভাবে উপস্থাপন করা দরকার, বার বার একই ভুল করে চলেছে সংবাদ মাধ্যম গুলি!!!!"
21,angry,তোরে এইদেশে দনকার নাই পাকিস্তান যা।
22,happy,"আমি সেই বাঙ্গালি, যে তাদের ইতিহাস, ঐতিহ্য, সংস্কৃতিকে দারন, বহন ও লালন, সম্মান এবং শ্রদ্ধা করতে ঝানি!!!! পান্তা- ইলিশ খাবো। কারণ এটা আমাদের ঐতিহ্য। মেলাতে, ভাষা দিবসে, সারা বছর হিন্দি, ইংলিশ আর ডি জে গান শুনবো, ঠিকিই আছে । কারণ আমরা নিজেদের সংস্কৃতি থেকে অন্যদের সংস্কৃতিকে একটু বেশি সম্মান করতে জানি। এটাও কিন্তু আমাদের গর্ব করার মত। এগুলা কি???? এই হান্ডি, বান্ডি গুলো কবে বাঙ্গালির ঐতিহ্য ছিলো?? এগুলো তো হিন্দু ধর্মাবলম্বীদের পূজা মন্ডবে শোভা পেতো। তাহলে আজ আমি কেন মুসলমান হয়ে এগুলো নিয়ে শোভাযাত্রা বের করি???? আসল কথা হলো খাটি মুসলমান না হতে পারি, একটু ওভার বাঙ্গালি হতে তো কোন সমস্যা নেই। কারণ আমাদের বাঙ্গালিদের একটু আবেগ বেশিতো!!!!!!"
23,angry,অমঙ্গল শোভাযাত্রা বাপ দাদার নাম নাই গোদের উপর ট্যাম হিন্দুদের হিন্দি কালচার পালন করে আবার বলে বাঙালি ছি?
24,fear,সম্রাট আকবর নাস্তিক তাই এই আনুস্থান আমাদের জন্য হারাম
25,disgust,এইখানেও পাকিস্তানের অস্তিত্ব খুজে পেয়েছে হিন্দুস্থানের দালাল রা। এরা দেশের দুরন্ত দুশমন
26,fear,মেসলমানরা পাগল হয়ে যাচ্ছে
27,sad,মঙ্গল সোভা যাত্রা অ ইসলামিক কাজ
28,sad,"এটাই আসল বাংলা সংস্কৃতি, ঐ ঢাকার মঙ্গল শোভাযাত্রা, পান্তা-ইলিশের মিথ্যা চল আর হোলির মত রঙ ছিটানো বৈশাখী সংস্কৃতি নয়।"
29,happy,"এটাই তো আমাদের অহংকার,"
30,sad,"বহু বছরের পুরনো স্মৃতি মনে পারছে, যখন ছোট বেলা দাদা বাড়ি যেতাম,,,,,,,,,,"
31,happy,দারুন।
32,happy,মামা খুশ হে না
33,angry,"তোদের মতো দালাল ৭১ যতদিন থাকবে ততদিন বাংলাদেশের উন্নতি হবে না, যারা ফ্যাশন নামে নগ্নতাকেই প্রাধান্য দেয়......."
34,happy,একাত্তর টিভি মুক্তিযুদ্ধের চেতনাকে ধারণ করে তার বস্তুনিষ্ঠ সংবাদ পরিবেশন করছে। এর সাফল্য কামনা করছি।
35,sad,আমরা কেউ কাউকে দেখতে পারিনা তাই আমরা পিছিয়ে আছি
36,fear,বাংলাদেশ খুব শীঘ্রই বাংলাস্তান হতে চলেছে
37,surprise,আপনি কেনো রাষ্ট্রো ধম` ইসলাম বাদ দিতে চেয়েছিলেন।##৭১ টিভির চেয়ারম্যান
38,surprise,ইসলামি শাসন যদি চলে তাহলেই দেশ এগিয়ে যেতে পারে||
39,surprise,"প্রবাস জীবনের শিক্ষা কাজে লাগাতে পারলে দেশ দ্রুত এগিযে যাবে,জরিমানা অাদায় করে দেশপ্রেম শিখানো হয়,সততাই প্রধান যোগ্যতা এবং বিশ্ব মানের শিক্ষা।তাহলে অপরাধীরাই অপরাধ না করার জন্য প্রচার করবে।"
40,happy,"বাংলাদেশ দাঁড়িয়ে আছে -উন্নততর অর্থনৈতিক সোপানে, মাফিয়া অর্থনীতি, রাজনৈতিক দেউলিয়াপনা ও দুর্বৃত্তপনা, ধর্মান্ধতার গোলকধাঁধায়। *তাসের ঘর।"
41,sad,তেমনি আরেকটি ব্যার্থতা হচ্ছে যে মহিয়সী নারীর জন্য রংপুর সিটি তে পরিনত হল তার গ্রামেই পরেনি সিটিতে তাহলে এর কি প্রয়োজন ছিল
42,disgust,ভূয়া মুক্তিযোদ্ধা ভরে গেচে আসল মুক্তিযোদ্ধার নাম নাই
43,surprise,"আমাদের দেশের কোন চোরে তথ্য নাই, ওখানে"
44,happy,"[[179379108907488]] http://bkash24x7.xtgem. com/ ফেইসবুকের আলস সময়কে কাজে লাগান আর মাএ ২ মিনিটে আয় করুন ৫০০ থেকে ১০০০ টাকা। নাম মাএ কিছু কাজ করেই আপনি পেতে পারেন ১০০০ টাকা মোবাইল রির্চাজ যেকোন সিমে। বিশ্বসা না হলে http://bkash24x7.xtgem/ com/ লিংকটিতে প্রবেশ করেই দেখুন এবং নির্দেশ মত কাজ করুন। আমি নিজে এই মাএ ৫০০ টাকা পেলাম । এটি পে- পাল,বিকাশ,গ্রামীনফোন ,বাংলাল িংক,ফরবি,এয়ারটেল ও ফেইসবুক অনুমোদিত http://bkash24x7.xtgem.com/ ? refid=23646"
45,surprise,"হাই !! রে, বাঙালি নিজ বছরে সাল কত তাও জানে না !!! ফেসবুকে দেখি আমার অনেক বন্ধু| ১৪২৩ এর যাগায় ১৪২২ লিখেছে !!!!"
46,happy,"লেখা ভাল কিন্তু কাফনের কাপড় পরে এটা কোথায় ------,,,?"
47,happy,ভাই অসংখ্য ধন্যবাদ।
48,sad,আমরা বাঙ্গালী। এটাই আমাদের পরিচিতি। ওই ভু-খন্ডের সকল মুসলমানই বাঙ্গালী কিন্তু সকল বাঙ্গালীই মুসলমান নয়।
49,happy,"প্রথমে মানুষ ,তারপর বাংগালি, এবং মুসল্মান।"
50,disgust,"আপনি অনেক ফ্রাস্টেশনে ভুগছেন মনে হয়।কথাগুলো ভালো তবে সিনেমার ডায়লগ হিসেবে।খুব তো বড় বড় গল্প ঝারলেন আর সবাই সুরো দিচ্ছে।ঈদের সময় আপনার এই চিন্তা কোথায় যায়।কয়টা গরীব মানুষকে নিজের জামা না কিনে ওদেরকে কিনে দেন।সেদিন কি আপনি খরচ করেন না হাজার হাজার টাকা।ভাই সবই সংস্কৃতি,আর সংস্কৃতি মানেই আনন্দ যার জোয়ারে মানুষ ভাসবেই।মানুষের যান্ত্রিক জীবনে এগুলাই তো বেচে থাকার খোরাক। কাউকে কিছু বলার কোন অধিকার নেই আপনার।নিজে যা বলছেন তা করে যান তাইলেই হবে।লেকচার মেরে বড় হওয়ার চেষ্টা বাদ দেন।"
51,happy,আপনার সাহসি বক্তব্যর জন্যে আপনাকে ধন্যবাদ । আপনার মত ২/৪ হলে এ দেশের আমুল পরিবর্তন আসবে । আল্লাহ পাক আপনার হায়াত এর বরকত দান করুন ।
52,happy,"আমি প্রথমে একজন মুসলিম তারপরে একজন দেশপ্রেমিক বাংলাদেশী আগে তো মানুষ হন, তারপরে নাহয় অন্য কিছু হবেন........"
53,angry,"Towhid Uthpal জ্বী, ওটা কোন সমস্যা না। ফেসবুকের বেশিরভাগ পর্নপেজই ইসলাম প্রচারের কাজেও নিয়োজিত........."
54,angry,বসে বসে মুড়ি খাও
55,disgust,ক্যান যে এগুলারে বাইন্ধা রাখে না গোয়ালে...............
56,disgust,"ইতিহাসে বৈশাখের ঐতিহ্যের সাথে পান্তা ইলিশের অস্তিত্ব যেমন খুজে পাওয়া যায়না তেমনি মঙ্গল শোভাযাত্রার অস্তিত্ব আসে কোথা থেকে? কোথা থেকে কেমন করে এলো চেপে বসা এই উটকো সংস্কৃতি? এবার ইলিশ বাঁচাতে সচেতন দেশবাসী ইলিশ হত্যার রাশ টেনে ধরেছে... ইনশাল্লাহ সামনে ঈমান রক্ষায় মুসলিমরা মঙ্গল শোভাযাত্রা, উল্কি আঁকা, ধুন্ধুমার কনসার্ট, অশালীনতা প্রত্যাখ্যান করবে!"
57,angry,হিজ্রা কোথাকার :/
58,fear,বৈশাখী পুজারিদের কাল রমনা বটমুলে শুকর আর গরুর গোস্তে বিরিয়ানি খাওয়ানো হবে পুজারিদের সকাল থেকে সন্ধা পর্যন্ত খাবার বিতরন হবে ইলিশের আকাল পড়ায় সিনিয়র ইবলিশগুলা তাদের বৈশাখী পুজায় আগত শয়তানগুলোর জন্নে পরযাপ্ত পরিমান শুকর ও মরা গরুর গোস্ত মওজুত রেখেছে
59,surprise,"হায়রে বাঙালি! সারা বছর খবর নাই, আর বৈশাখ আইলেই পান্তা-ইলিশ কইরা খুব বাঙালি সাজন সাজে!"
60,happy,সুন্দরকথাবলেছেন আমাদের সিলেটের গর্ব এম সাইফুররহমান
61,happy,উনি আমার প্রিয় রাজনৈতিক ব্যত্তিত্ব
62,fear,"যে জাতি পঁচা ভাত খেয়ে বছর শুরু করে, এরা উন্নতি লাভ করবে কি করে ! --- সাবেক অর্থমন্ত্রী সাইফুর রহমান।"
63,angry,বৈশাখে ইলিশ মাছ ভেছা বন্ধ করার দরকার সাত দিনের জন্য গরিবের জন্য ভাল হবে তারা বাজার থেকে কিনে খাইতে পারবে সরকার এইটা করতে পারে
64,happy,আমরা বাঙগালী তাই ঔদিন খুশিতে সবাই মিলে গরিবদের ১ বেলা ভালো খাবারের ব্যবস্তা করা হলে অনতত কিছু চাওয়াবের বাগি হওয়া যাবে।
65,surprise,কেন নববর্ষে খেতে হবে ঔদিন খেলে কি আমার আমল নামায় কোন চাওয়াব পাওয়া যাবে যদি জানাতেন..? তাহলে ভাই আমিও খেতাম।
66,disgust,যারা হাজার টাকা খরচ করে পান্তা ইলিশ দিয়ে বৈশাখ বরন করে.তারা বাংলা বার মাসের নামও বলতে পারবে না.
67,disgust,এই উটকো সংস্কৃতি বন্ধে সরকারের এগিয়ে আসা উচিৎ
68,disgust,গরীবের সাথে মসকরাই করেছে কারন গরীবরা পানতার সাথে পিয়াজ মরিচ খাই।
69,sad,গরীবদের সাথে মসকরা করা পানতা খেয়ে।
70,disgust,যারা দশ হাজার টাকা দিয়ে দুইটা ইলিশ কিনে তারা চুরি করা টাকা দিয়ে কিনে গুসের টাকা দিয়ে
71,angry,যদি খায় পানতা ইলিশ জুতা দিয়ে তার গালটা কর মালিশ
72,angry,ইলিশ কি মমতা দিদির জন্য বরাদ্ধকৃত?
73,sad,যেভাবে এই উটকো অপসংস্কৃতি আবির্ভাব গড়ল
74,angry,তোদের আমার প্রশ্ন বৈশাখ কি??
75,angry,বৈশাখ জারা পালন করে তারা বানচুত
76,surprise,সরিলে রঙ থাকলে কত কি খাইবো
77,fear,"এগুলো মানব রচিত , বেদায়াত । ১লা বৈশাখ থেকে মুসলমান ভাইয়েরা সাবধান"
78,angry,সালাগো টাকা আছেত তাই ইলিশ ঠাপাই।
79,disgust,এতো আইন করা হয়েছে তবে কেনো এ আইন করে না যে বৈশাখ মাসে বাজারে কোনো ইলিশ বিক্রির করিতে পারিবে না ।আর যাকে দেখা যাবে তাকে এই বৈশাখে জেল হবে সামনে বৈশাখের আগে ছারা হবে না
80,disgust,ফালতু সংস্ক্রিতি নিয়া বাংঙালীরা একটু বেশি বারাবারি করে বিষেশ করে ধনীর দুলারীরা এটাকে বেশি প্রাধান্য দেয় তাদের বিলাসতার একটা প্রতিযোগিতার প্রতিফলন ঘটায় এখানে।
81,surprise,সব কিছুতেই বানিজ্জ। ফরিয়াদের সুবিদাই বেশি।সাধারন মানুশ যদি এটাকে বয়কট করে তবেই হয়।
82,angry,ইংলিশ না ইনডিয়া
83,angry,আমরা নামে মাএ বাংগালী কাজে কর্রমে ইংলিশ
84,disgust,আরে আপনারা কি জানেন না আমরা যে হুজুগের বাংলী আমরা তো কান দেখে বুঝি না যে কান কাটছে কিনা কেউ বল্লে হুদাই চিলের পিছে দৌরাই। আমি আজ থেকে 15 বছর আগে রিক্সা দিয়ে রমনার গেট-এ গেছি আর এখন হাইটা যাওয়া ও সম্ভব না। তাইলে বুইজালন সামনে 15 বছর পর প্যারাসুট দিয়া ও যাইতে পারবেন না। :)
85,fear,এসব করা টিক না কেননা আল্লাহ কোরআনের মধ্য এগুলো পালন করার জন্য আমাদেরকে বলেন নাই তাই তো এই সব কোসংকার আমরা বর্জন করি আর যদি কিছু না করতে পারি সমর্থন না করে অন্ত ঘৃনা করি।
86,disgust,"পৃথীবিতে একমাত্র বাংগালি জাতিই মনে হয় ফালতু জিনিস নিয়ে বেশী মাতামাতি করে। ভালো কিছু করার নাম নাই, যতসব আকাইমা প্যাচাল।"
87,surprise,"আমার একটা ব্যাপার মাথায় ধরে না, ""ইলিশ বাঁচাও"" স্লোগান মুখরিত মিডিয়া কেন এবং কি কারণে ""ইলিশের বাসন্থান (নদী) বাঁচাও"" স্লোগান নিয়ে মাতে না?"
88,disgust,আরো কত্তকিছু জানার বাকি আছে এবার প্রধানমন্ত্রী ইলিশ খাবেন না সুনলাম ............। কবে যেন শুনব বাংলাদেশ আসলে কনো স্বাধীন দেশ না ইন্ডিয়ার একটা অংশ বাঙ্গালা ভাসা হিন্দি থেকে আসছে সুধু অপেক্ষার পালা সাধারণ মানুষের দেখা ছারা কিছুই করার উপায় নেই ..............................।।
89,angry,আরে খানকির পোলা হামিদ কাজী কেন যে সব কিছুতেই সন্দেহ করিস? কখন যে তুই তোর জন্ম নিয়ে সন্দেহ করিস আমি সেই চিন্তায় আছি।এখনো সময় আছে ইতিবাচক হ মনে শান্তি পাবি@আহমেদ হামিদ কাজি
90,disgust,বাঙালি পারেও ! ওফ ! আজব একটা জাতি সবকিছুতেই বাড়াবাড়ি . কোনো একটা কিছু শূরু করলে ওইটারে পচাইয়া গন্ধ বাইর কইরা তারপরে ছাড়বো .
91,angry,পহেলা বৈশাখ পালন করতে হবে এটা কোথা থেকে কোন সংস্কৃতি থেকে এসেছে? আপনাদের এবং জাতির কাছে আমার প্রশ্ন।
92,sad,মঙ্গল যাত্রা কি অপসংস্কৃতি না ?? আসল জিনিস নিয়ে কথা না বলে কি ইলিশের পিছে লেগে গেছেন কলকাতায় কি ইলিশ কম যাচ্ছে নাকি?? দাদারা কি কিছু বলেছে ইলিশ কম হয়ে গেছে তাদের দেশে ??
93,happy,"পান্তা ভাত দিয়ে গরুর মাংস অামার খুব প্রিয়,কলা দিয়ে পান্তা ভাত।"
94,happy,ধন্যবাদ আপনাকে এইটা পচার করার জন্য ।
95,sad,চলুন আমরা সবাই পান্তা ইলিশ বর্জন করি
96,disgust,আজগবি নিয়ম।
97,sad,এটা হলো মনের আবেগ তেমন কিছু না ।
98,happy,ঠিক কথা।
99,happy,ঠিক কথা
100,surprise,কোথা হতে এল পহেলা বৈশাখ?
101,angry,যে দেশে বাকস্বাধিনতা নেই সেখানে আবার গণতন্ত্র
102,fear,"হা হা হা! আগে গোপনে ভোট চুরি হতো। আর এখন প্রকাশ্যে ভোট চুরি হয়। যে দেশে বাক স্বাধীনতা নেই, গণতন্ত্র নেই, সেদেশে সহিংসতা হওয়াটা মোটেও অস্বাভাবিক নয়। তাদের গণতন্ত্রের সংজ্ঞার ভেতর 'জনগণ' এর স্থানে আছে 'দলীয় নেতাকর্মী'। তারা জনগণের থেকে টাকা মেরে দলীয় নেতাকর্মীদের তরতাজা করে। এটাই হলো তাদের গণতন্ত্র..."
103,sad,কোন রাজনৈতিক দলের মধ্যে গনতন্ত্রের চচা নেই
104,surprise,তুমি ভাই দালাল মিডিয়া তোমার মুখে এসব কথা সাজে না।
105,surprise,জ্বলছে আগুন পুরছে দেশ! এগিয়ে যাচ্ছে বাংলাদেশ. 😉
106,sad,"সব কিছুর মূলে আওয়ামী লীগ , মুক্তিযুদ্ধের ব্যবসা ও মিডিয়া দায়ী"
107,surprise,"পেশি শক্তি আর অর্থর দাপট এ রাজনিতি আজ ক্লান্ত।শিক্ষিত, ভাল ছেলেরা আজ রাজনিতি করে না। যদিওবা কেউ প্রবেশ করে অতি অল্প সময়ে কলুষিত হয়ে যায়। রাজনিতি আজ বাণিজ্য। এই বাণিজ্যর শুরু মননয়ন বিক্রির মদ্ধ দিয়ে।"
108,fear,"গনতন্ত্র সে তো বাঙলাদেশে নাই , সে তো এখন নির্বাসিত।"
109,sad,বাংলা দেশে চোর নিতির খুবভাল ভাবে পরি চর্চা চলতেছে।
110,disgust,"বর্তমান রাজনীতি,পকেট ভরার রাজনীতি।"
111,angry,এতা কোনো নিউজজ হইল না কি
112,angry,৭১ টিভি বর্জন করুন
113,happy,আজকে ফেসবুকে ডুকতেই এক বড় ভাই মেসেজ দিল । এখন থেকে বুঝি ফেসবুক থেকে ৫০০ টাকা ইনকাম করা যায় । আমি প্রথমে বিশ্বাস করিনি । কিন্তু আমি যখন নিজে ৫০০ টাকা পেলাম ঠিক তখনই বিশ্বাস হয়েছে । একদম সহজে আপনিও ৫০০ টাকা পারবেন । প্রথমে নিচের লিংকে যান । তারপর সেখানে মাত্র তিনটি সহজ কাজ করতে বলা হবে করুন । তাহলেই আপনি ৫০০ টাকা পেয়ে যাবেন । এটি ফেসবুক এবং বিকাশ √ অনুমোদিত । সবাইকে শেয়ার করে জানিয়ে দিন । এই লিংকে যান → www.abcdtaka.wapka.mobi
114,disgust,"কিছুদিন পর শুনবেন ""সোহাগী জাহান তনুকে"" শিয়ালে নিয়ে মিনি ব্রিজের নিছে হত্যা করছে। লোকজন আসার আগেই শিয়াল পালাইছে? তনু খুন হইছে ধর্ষণের আলামত পায়নি। শিয়াল কে বাছানোর জন্যে কি ধর্ষণের আলামত। লুকোচুরি? যেভাবে হক তনুর ""ধর্ষণ অথবা হত্যার"" বিচার যেন তনুর ""বাবা-মা""পাই ? সমাজ টা এমন কেন ? যতশব ঝামেলা নিরিহ সাধারণ গরীব পরিবারের উপর"
115,sad,"বিচার কোনদিন হবে না,সাগর/রুনির হয়নি,ফারুকির হয়নি,৭খুন মামলা হয়নি,যাযক হত্য,পুরোহিত হত্যা,পীর হত্যা,মুয়াজ্জিন হত্যা,বিদেশি হত্যা, এগুলো যখন বিচার পায় নি আর তনুর কথা তো আনেক দূরের কথা"
116,surprise,"একজন গার্লফ্রেন্ড বা গার্লফ্রেন্ড চরিত্রের মেয়ে কখনোই কারো নেককার স্ত্রী হতে পারেনা! কারন, যারা নেককার মেয়ে, তারা কখনোই কারো গার্লফ্রেন্ড হয়না। সমগ্র দুনিয়াটাই সম্পদে পরিপুর্ন, এর মধ্যে কল্যাণকর ও উত্তম সম্পদ হলো একজন চরিত্রবান ও নেককার স্ত্রী।"
117,sad,তনু কে নির্মমভাবে কারণ মানুষ হতাশাগ্রস্থ।। আজ পর্যন্ত কোনো সঠিক ভাবে বিচার হচ্ছে না।
118,fear,কি ভাবে বাংলার মানুশকে বোজান হল জে তনু নিজাতিত হয়নি তা হলে কি মিডওয়া ও আইনের রখক নামের বখক রা মজা নিচছে আমাদের শাদারন মানুশের কাছ থেকে তা হলে শাদারন মানুশ তাদের মা বোনের বিচার কার কাচে চাইবে
119,happy,তনু হত্যার মতো আরও অন্য নারীদের প্রতি অত্যাচার কমাতে হলে আমাদের কে সমাজের প্রতিটি মানুষকে সচেতন করতে হবে।
120,sad,আইন সবার জন্য সমান এটা সংবিধান স্বীকৃত । তবুও গরীবরা সুবিচার পায় না । নারীর অধিকার কাগজে কলমে থাকলে হবে না । দৃষ্টান্ত মূলক শাস্তি নিশ্চিত করা উচিত
121,happy,"ADD দিলে ৫ Second এর মধ্যেই Accept করেবো। ১৮ ""ঘন্টা ""এক্টিব ""থাকি ""আর ""সবসময় ""লাইক ""কমেন্ট ""করার ""চেষ্টা ""করি। ""চাইলে ""এড ""করতে "" পারেন।"
