,Status,Sentence
21,angry,তোরে এইদেশে দনকার পাকিস্তান যা।
22,happy,"বাঙ্গালি, ইতিহাস, ঐতিহ্য, সংস্কৃতিকে দারন, বহন লালন, সম্মান শ্রদ্ধা ঝানি!!!! পান্তা- ইলিশ খাবো। ঐতিহ্য। মেলাতে, ভাষা দিবসে, সারা বছর হিন্দি, ইংলিশ ডি গান শুনবো, ঠিকিই । সংস্কৃতি অন্যদের সংস্কৃতিকে একটু সম্মান জানি। এটাও গর্ব মত। এগুলা কি???? হান্ডি, বান্ডি গুলো বাঙ্গালির ঐতিহ্য ছিলো?? এগুলো হিন্দু ধর্মাবলম্বীদের পূজা মন্ডবে শোভা পেতো। মুসলমান হয়ে এগুলো শোভাযাত্রা বের করি???? আসল কথা খাটি মুসলমান পারি, একটু ওভার বাঙ্গালি সমস্যা নেই। বাঙ্গালিদের একটু আবেগ বেশিতো!!!!!!"
23,angry,অমঙ্গল শোভাযাত্রা বাপ দাদার নাম গোদের ট্যাম হিন্দুদের হিন্দি কালচার পালন বাঙালি ছি?
24,fear,সম্রাট আকবর নাস্তিক আনুস্থান হারাম
25,disgust,এইখানেও পাকিস্তানের অস্তিত্ব খুজে পেয়েছে হিন্দুস্থানের দালাল রা। দেশের দুরন্ত দুশমন
26,fear,মেসলমানরা পাগল হয়ে
27,sad,মঙ্গল সোভা যাত্রা অ ইসলামিক
28,sad,"আসল বাংলা সংস্কৃতি, ঢাকার মঙ্গল শোভাযাত্রা, পান্তা-ইলিশের মিথ্যা চল হোলির মত রঙ ছিটানো বৈশাখী সংস্কৃতি নয়।"
29,happy,"অহংকার,"
30,sad,"বছরের পুরনো স্মৃতি পারছে, ছোট বেলা দাদা বাড়ি যেতাম,,,,,,,,,,"
31,happy,দারুন।
32,happy,মামা খুশ হে
33,angry,"তোদের দালাল ৭১ যতদিন ততদিন বাংলাদেশের উন্নতি না, ফ্যাশন নামে নগ্নতাকেই প্রাধান্য দেয়......."
34,happy,একাত্তর টিভি মুক্তিযুদ্ধের চেতনাকে ধারণ বস্তুনিষ্ঠ সংবাদ পরিবেশন করছে। সাফল্য কামনা করছি।
35,sad,পারিনা পিছিয়ে আছি
36,fear,বাংলাদেশ শীঘ্রই বাংলাস্তান চলেছে
37,surprise,কেনো রাষ্ট্রো ধম` ইসলাম বাদ চেয়েছিলেন।##৭১ টিভির চেয়ারম্যান
38,surprise,ইসলামি শাসন তাহলেই দেশ এগিয়ে পারে||
39,surprise,"প্রবাস জীবনের শিক্ষা লাগাতে পারলে দেশ দ্রুত এগিযে যাবে,জরিমানা অাদায় দেশপ্রেম শিখানো হয়,সততাই প্রধান যোগ্যতা বিশ্ব মানের শিক্ষা।তাহলে অপরাধীরাই অপরাধ প্রচার করবে।"
40,happy,"বাংলাদেশ দাঁড়িয়ে -উন্নততর অর্থনৈতিক সোপানে, মাফিয়া অর্থনীতি, রাজনৈতিক দেউলিয়াপনা দুর্বৃত্তপনা, ধর্মান্ধতার গোলকধাঁধায়। *তাসের ঘর।"
41,sad,তেমনি আরেকটি ব্যার্থতা মহিয়সী নারীর রংপুর সিটি তে পরিনত গ্রামেই পরেনি সিটিতে প্রয়োজন
42,disgust,ভূয়া মুক্তিযোদ্ধা ভরে গেচে আসল মুক্তিযোদ্ধার নাম
43,surprise,"দেশের চোরে তথ্য নাই,"
44,happy,"[[]] http://bkashx.xtgem. com/ ফেইসবুকের আলস সময়কে লাগান মাএ ২ মিনিটে আয় করুন ৫০০ ১০০০ টাকা। নাম মাএ পেতে ১০০০ টাকা মোবাইল রির্চাজ যেকোন সিমে। বিশ্বসা http://bkashx.xtgem/ com/ লিংকটিতে প্রবেশ দেখুন নির্দেশ মত করুন। মাএ ৫০০ টাকা পেলাম । পে- পাল,বিকাশ,গ্রামীনফোন ,বাংলাল িংক,ফরবি,এয়ারটেল ফেইসবুক অনুমোদিত http://bkashx.xtgem.com/ ? refid="
45,surprise,"হাই !! রে, বাঙালি নিজ বছরে সাল জানে !!! ফেসবুকে দেখি বন্ধু| ১৪২৩ যাগায় ১৪২২ লিখেছে !!!!"
46,happy,"লেখা ভাল কাফনের কাপড় কোথায় ------,,,?"
47,happy,ভাই অসংখ্য ধন্যবাদ।
48,sad,বাঙ্গালী। পরিচিতি। ভু-খন্ডের সকল মুসলমানই বাঙ্গালী সকল বাঙ্গালীই মুসলমান নয়।
49,happy,"প্রথমে মানুষ ,তারপর বাংগালি, মুসল্মান।"
50,disgust,"ফ্রাস্টেশনে ভুগছেন হয়।কথাগুলো ভালো সিনেমার ডায়লগ হিসেবে।খুব বড় বড় গল্প ঝারলেন সবাই সুরো দিচ্ছে।ঈদের সময় চিন্তা কোথায় যায়।কয়টা গরীব মানুষকে জামা কিনে ওদেরকে কিনে দেন।সেদিন খরচ টাকা।ভাই সবই সংস্কৃতি,আর সংস্কৃতি মানেই আনন্দ জোয়ারে মানুষ ভাসবেই।মানুষের যান্ত্রিক জীবনে এগুলাই বেচে থাকার খোরাক। বলার অধিকার আপনার।নিজে বলছেন তাইলেই হবে।লেকচার মেরে বড় হওয়ার বাদ দেন।"
51,happy,সাহসি বক্তব্যর জন্যে আপনাকে ধন্যবাদ । মত ২/৪ দেশের আমুল পরিবর্তন আসবে । আল্লাহ পাক হায়াত বরকত দান করুন ।
52,happy,"প্রথমে একজন মুসলিম তারপরে একজন দেশপ্রেমিক বাংলাদেশী মানুষ হন, তারপরে নাহয় হবেন........"
53,angry,"Towhid Uthpal জ্বী, ওটা সমস্যা না। ফেসবুকের বেশিরভাগ পর্নপেজই ইসলাম প্রচারের কাজেও নিয়োজিত........."
54,angry,মুড়ি খাও
55,disgust,ক্যান এগুলারে বাইন্ধা রাখে গোয়ালে...............
56,disgust,"ইতিহাসে বৈশাখের ঐতিহ্যের সাথে পান্তা ইলিশের অস্তিত্ব খুজে পাওয়া যায়না তেমনি মঙ্গল শোভাযাত্রার অস্তিত্ব আসে কোথা থেকে? কোথা কেমন এলো চেপে বসা উটকো সংস্কৃতি? ইলিশ বাঁচাতে সচেতন দেশবাসী ইলিশ হত্যার রাশ টেনে ধরেছে... ইনশাল্লাহ ঈমান রক্ষায় মুসলিমরা মঙ্গল শোভাযাত্রা, উল্কি আঁকা, ধুন্ধুমার কনসার্ট, অশালীনতা প্রত্যাখ্যান করবে!"
57,angry,হিজ্রা কোথাকার :/
58,fear,বৈশাখী পুজারিদের কাল রমনা বটমুলে শুকর গরুর গোস্তে বিরিয়ানি খাওয়ানো পুজারিদের সকাল সন্ধা খাবার বিতরন ইলিশের আকাল পড়ায় সিনিয়র ইবলিশগুলা বৈশাখী পুজায় আগত শয়তানগুলোর জন্নে পরযাপ্ত পরিমান শুকর মরা গরুর গোস্ত মওজুত রেখেছে
59,surprise,"হায়রে বাঙালি! সারা বছর খবর নাই, বৈশাখ আইলেই পান্তা-ইলিশ কইরা বাঙালি সাজন সাজে!"
60,happy,সুন্দরকথাবলেছেন সিলেটের গর্ব এম সাইফুররহমান
61,happy,প্রিয় রাজনৈতিক ব্যত্তিত্ব
62,fear,"জাতি পঁচা ভাত খেয়ে বছর করে, উন্নতি লাভ ! --- সাবেক অর্থমন্ত্রী সাইফুর রহমান।"
63,angry,বৈশাখে ইলিশ মাছ ভেছা বন্ধ দরকার সাত দিনের গরিবের ভাল বাজার কিনে খাইতে পারবে সরকার এইটা
64,happy,বাঙগালী ঔদিন খুশিতে সবাই মিলে গরিবদের ১ বেলা ভালো খাবারের ব্যবস্তা অনতত চাওয়াবের বাগি হওয়া যাবে।
65,surprise,নববর্ষে খেতে ঔদিন খেলে আমল নামায় চাওয়াব পাওয়া জানাতেন..? ভাই আমিও খেতাম।
66,disgust,টাকা খরচ পান্তা ইলিশ দিয়ে বৈশাখ বরন করে.তারা বাংলা মাসের নামও পারবে না.
67,disgust,উটকো সংস্কৃতি বন্ধে সরকারের এগিয়ে আসা উচিৎ
68,disgust,গরীবের সাথে মসকরাই কারন গরীবরা পানতার সাথে পিয়াজ মরিচ খাই।
69,sad,গরীবদের সাথে মসকরা পানতা খেয়ে।
70,disgust,দশ টাকা দিয়ে দুইটা ইলিশ কিনে চুরি টাকা দিয়ে কিনে গুসের টাকা দিয়ে
71,angry,খায় পানতা ইলিশ জুতা দিয়ে গালটা কর মালিশ
72,angry,ইলিশ মমতা দিদির বরাদ্ধকৃত?
73,sad,যেভাবে উটকো অপসংস্কৃতি আবির্ভাব গড়ল
74,angry,তোদের প্রশ্ন বৈশাখ কি??
75,angry,বৈশাখ জারা পালন বানচুত
76,surprise,সরিলে রঙ থাকলে খাইবো
77,fear,"এগুলো মানব রচিত , বেদায়াত । ১লা বৈশাখ মুসলমান ভাইয়েরা সাবধান"
78,angry,সালাগো টাকা আছেত ইলিশ ঠাপাই।
79,disgust,এতো আইন হয়েছে কেনো আইন বৈশাখ মাসে বাজারে ইলিশ বিক্রির পারিবে ।আর বৈশাখে জেল বৈশাখের ছারা
80,disgust,ফালতু সংস্ক্রিতি নিয়া বাংঙালীরা একটু বারাবারি বিষেশ ধনীর দুলারীরা এটাকে প্রাধান্য দেয় বিলাসতার একটা প্রতিযোগিতার প্রতিফলন ঘটায় এখানে।
81,surprise,কিছুতেই বানিজ্জ। ফরিয়াদের সুবিদাই বেশি।সাধারন মানুশ এটাকে বয়কট তবেই হয়।
82,angry,ইংলিশ ইনডিয়া
83,angry,নামে মাএ বাংগালী কর্রমে ইংলিশ
84,disgust,আরে আপনারা জানেন হুজুগের বাংলী কান বুঝি কান কাটছে কিনা বল্লে হুদাই চিলের পিছে দৌরাই। বছর রিক্সা দিয়ে রমনার গেট-এ গেছি হাইটা সম্ভব না। তাইলে বুইজালন বছর প্যারাসুট দিয়া যাইতে পারবেন না। :)
85,fear,এসব টিক কেননা আল্লাহ কোরআনের মধ্য এগুলো পালন আমাদেরকে কোসংকার বর্জন সমর্থন অন্ত ঘৃনা করি।
86,disgust,"পৃথীবিতে একমাত্র বাংগালি জাতিই ফালতু জিনিস বেশী মাতামাতি করে। ভালো নাম নাই, যতসব আকাইমা প্যাচাল।"
87,surprise,"একটা ব্যাপার মাথায় না, ""ইলিশ বাঁচাও"" স্লোগান মুখরিত মিডিয়া কারণে ""ইলিশের বাসন্থান (নদী) বাঁচাও"" স্লোগান মাতে না?"
88,disgust,আরো কত্তকিছু জানার বাকি প্রধানমন্ত্রী ইলিশ খাবেন সুনলাম ............। শুনব বাংলাদেশ আসলে কনো স্বাধীন দেশ ইন্ডিয়ার একটা অংশ বাঙ্গালা ভাসা হিন্দি আসছে সুধু অপেক্ষার পালা মানুষের ছারা উপায় ..............................।।
89,angry,আরে খানকির পোলা হামিদ কাজী কিছুতেই সন্দেহ করিস? কখন তুই তোর জন্ম সন্দেহ করিস চিন্তায় আছি।এখনো সময় ইতিবাচক হ শান্তি পাবি@আহমেদ হামিদ কাজি
90,disgust,বাঙালি পারেও ! ওফ ! আজব একটা জাতি সবকিছুতেই বাড়াবাড়ি . একটা শূরু ওইটারে পচাইয়া গন্ধ বাইর কইরা তারপরে ছাড়বো .
91,angry,পহেলা বৈশাখ পালন কোথা সংস্কৃতি এসেছে? আপনাদের জাতির প্রশ্ন।
92,sad,মঙ্গল যাত্রা অপসংস্কৃতি ?? আসল জিনিস কথা ইলিশের পিছে লেগে গেছেন কলকাতায় ইলিশ কম নাকি?? দাদারা বলেছে ইলিশ কম হয়ে দেশে ??
93,happy,"পান্তা ভাত দিয়ে গরুর মাংস অামার প্রিয়,কলা দিয়ে পান্তা ভাত।"
94,happy,ধন্যবাদ আপনাকে এইটা পচার ।
95,sad,চলুন সবাই পান্তা ইলিশ বর্জন
96,disgust,আজগবি নিয়ম।
97,sad,মনের আবেগ ।
98,happy,কথা।
99,happy,কথা
100,surprise,কোথা পহেলা বৈশাখ?
101,angry,দেশে বাকস্বাধিনতা গণতন্ত্র
102,fear,"হা হা হা! গোপনে ভোট চুরি হতো। প্রকাশ্যে ভোট চুরি হয়। দেশে বাক স্বাধীনতা নেই, গণতন্ত্র নেই, সেদেশে সহিংসতা হওয়াটা মোটেও অস্বাভাবিক নয়। গণতন্ত্রের সংজ্ঞার ভেতর 'জনগণ' স্থানে 'দলীয় নেতাকর্মী'। জনগণের টাকা মেরে দলীয় নেতাকর্মীদের তরতাজা করে। গণতন্ত্র..."
103,sad,রাজনৈতিক দলের গনতন্ত্রের চচা
104,surprise,ভাই দালাল মিডিয়া মুখে এসব কথা সাজে না।
105,surprise,জ্বলছে আগুন পুরছে দেশ! এগিয়ে বাংলাদেশ. 😉
106,sad,"কিছুর মূলে আওয়ামী লীগ , মুক্তিযুদ্ধের ব্যবসা মিডিয়া দায়ী"
107,surprise,"পেশি শক্তি অর্থর দাপট রাজনিতি ক্লান্ত।শিক্ষিত, ভাল ছেলেরা রাজনিতি না। যদিওবা প্রবেশ অতি অল্প সময়ে কলুষিত হয়ে যায়। রাজনিতি বাণিজ্য। বাণিজ্যর মননয়ন বিক্রির মদ্ধ দিয়ে।"
108,fear,"গনতন্ত্র বাঙলাদেশে , নির্বাসিত।"
109,sad,বাংলা দেশে চোর নিতির খুবভাল পরি চর্চা চলতেছে।
110,disgust,"বর্তমান রাজনীতি,পকেট ভরার রাজনীতি।"
111,angry,এতা নিউজজ হইল
112,angry,৭১ টিভি বর্জন করুন
113,happy,আজকে ফেসবুকে ডুকতেই এক বড় ভাই মেসেজ দিল । বুঝি ফেসবুক ৫০০ টাকা ইনকাম যায় । প্রথমে বিশ্বাস করিনি । ৫০০ টাকা পেলাম তখনই বিশ্বাস হয়েছে । একদম সহজে আপনিও ৫০০ টাকা পারবেন । প্রথমে নিচের লিংকে । তিনটি সহজ করুন । তাহলেই ৫০০ টাকা পেয়ে যাবেন । ফেসবুক বিকাশ √ অনুমোদিত । সবাইকে শেয়ার জানিয়ে । লিংকে → www.abcdtaka.wapka.mobi
114,disgust,"কিছুদিন শুনবেন ""সোহাগী জাহান তনুকে"" শিয়ালে মিনি ব্রিজের নিছে হত্যা করছে। লোকজন আসার শিয়াল পালাইছে? তনু খুন হইছে ধর্ষণের আলামত পায়নি। শিয়াল বাছানোর জন্যে ধর্ষণের আলামত। লুকোচুরি? যেভাবে হক তনুর ""ধর্ষণ হত্যার"" বিচার তনুর ""বাবা-মা""পাই ? সমাজ টা ? যতশব ঝামেলা নিরিহ গরীব পরিবারের"
115,sad,"বিচার কোনদিন না,সাগর/রুনির হয়নি,ফারুকির হয়নি,৭খুন মামলা হয়নি,যাযক হত্য,পুরোহিত হত্যা,পীর হত্যা,মুয়াজ্জিন হত্যা,বিদেশি হত্যা, এগুলো বিচার পায় নি তনুর কথা আনেক দূরের কথা"
116,surprise,"একজন গার্লফ্রেন্ড গার্লফ্রেন্ড চরিত্রের মেয়ে কখনোই কারো নেককার স্ত্রী পারেনা! কারন, নেককার মেয়ে, কখনোই কারো গার্লফ্রেন্ড হয়না। সমগ্র দুনিয়াটাই সম্পদে পরিপুর্ন, কল্যাণকর উত্তম সম্পদ একজন চরিত্রবান নেককার স্ত্রী।"
117,sad,তনু নির্মমভাবে মানুষ হতাশাগ্রস্থ।। সঠিক বিচার না।
118,fear,বাংলার মানুশকে বোজান তনু নিজাতিত হয়নি মিডওয়া আইনের রখক নামের বখক রা মজা নিচছে শাদারন মানুশের শাদারন মানুশ মা বোনের বিচার কার কাচে চাইবে
119,happy,তনু হত্যার নারীদের অত্যাচার কমাতে সমাজের প্রতিটি মানুষকে সচেতন হবে।
120,sad,আইন সমান সংবিধান স্বীকৃত । তবুও গরীবরা সুবিচার পায় । নারীর অধিকার কাগজে কলমে থাকলে । দৃষ্টান্ত মূলক শাস্তি নিশ্চিত
121,happy,"ADD দিলে ৫ Second Accept করেবো। ১৮ ""ঘন্টা ""এক্টিব ""থাকি ""আর ""সবসময় ""লাইক ""কমেন্ট ""করার ""চেষ্টা ""করি। ""চাইলে ""এড ""করতে "" পারেন।"
122,disgust,"কইছে আপনারে,কিসু হইলেই পুরুষতন্রের খেতা পুড়ান।তনু এজন্য হয়নাই একজন নারী।তনু হত্যা হয়েছে উদ্দেশ্য পুরণের ইচ্ছা ছিলো,বা গুপ্ত প্ল্যান।আর খুন করেছে,সে পুরুষতান্ত্রিক সমাজের পুরুষ না,নারীতান্ত্রিক নারীও না,কারো সন্তানও না,তার পরিচয় খুনি।কিছু হইলেই পুরুষ নারী পুন্দাপুন্দি কত?"
123,sad,"ইভটিজিং বন্ধ কঠোর আইনানুগ ব্যবস্থা সরকারকে, নারী নারী বলেই অবহেলিত হবে, তাদেরকে সারা জীবন আড় চোখেই হবে, মন্তব্য হবে, সমালোচনার পাত্রী হবে। অপমানিত ""মা"" নামক মধুর শব্দটি ধ্বংস হবে, পারেন?"
124,angry,"মিথ্যা পরিচয়ে ফেসবুক চালায়, মতামত কি?"
125,fear,কোরআন দিয়েই ধর্ষন হত্যা রাহাজানি বন্ধ সম্ভব অন্যথায় |
126,sad,নৈতিকতার উন্নতি ছাড়া সবই ব্যর্থ হবে।
127,angry,ফেমিলি শিকার
128,fear,"আওয়ামী লিগের স্বা`থ যেখানেই আছে, ন্যায় বিচার দূরে থাক, তদন্তও না। দিয়ে মালু হিন্দুর বাচ্চা ডাক্তার ময়না তদন্ত সম্পু`ন রুপে দিলো??? তদন্তের নামে তনুর পরিবার থ্রেট মুখই বন্ধ দিয়েছে, বাকি আছে???"
129,sad,দেশে বিচারহীনতার অপসংস্কৃতি সৃষ্টি হইয়েছে এসব অপরাধের সংখ্যা বৃদ্ধি পাচ্ছে।তাই প্রথমে বিচার বিভাগকে বেড়িয়ে আসতে হবে।তাহলে অপরাধি অপরাধ সাহস পাবেনা।
130,sad,আসলে নারী ছাড়া পুরুষ এক পাও এগুতে এতো অবিচার।
131,surprise,"খুনিদের হচেছ কেন?কারা কারা সাথে জড়িত,তাদের সবাই এনে বিচারের মুখোমুখি হক।নাকি এটাও সাগর রুনি মত ধরছি হবে,লোক দেখানো মুখের বুলি ছাড়া নয়।"
132,disgust,বাংলাদেশ হয়ছে মুরি কিনে খাওয়ার দিন।বিচার চাওয়া মুরি কিনে খাওয়া তা।আযথা বিচার চেয়ে।মুরি খান।কাজে লাগব কারন কই মুরি পাইবেনা
133,angry,তনু ঝরে যায় কার বাপের । এরপরও গদি এতেই হয়ে ।
134,sad,মা বোন কেমন দেশে বাস করবে। ত নিরাপত্যা পারছিনা। এদেশ ছেরে এদেশ গটনার গটক দের তারাতে হবে।
135,angry,"কথিত আইনশৃঙ্খলা রক্ষাকারী বাহিনীগুলোর হাতে আগ্নেয়াস্ত্র খেলনার মত হয়ে গেছে। মানুষ হত্যা করছে, মানুষখেকো বাহিনীগুলোর হাত পাবলিক, বিরোধী দল, সরকারি দল রেহাই পাচ্ছে না। হত্যার দায় একমাত্র শেখ হাসিনাকেই হবে। ভবিষ্যৎতে সরকার পরিবর্তন মানবতাবিরোধী অপরাধে হাসিনার ফাসি দেয়া হবে!"
136,happy,মেয়ে পদা চললে ধষন
137,surprise,হায়রে মিডিয়া!
138,angry,মেয়েরা
139,angry,নারীর অধিকার লাফালাফি কোথায়..?জাতি চায়..
140,happy,"আপনারা উন্নয়ন ধন্যবাদ। সারা দেশে উন্নত যোগাযোগ বাবস্থা চাই, উন্নত বাস ট্রেন সারভিচ। গরিবদের রেশন দিন। বড় বড় সুপার হাস্পাতাল চাই- জেলা শহরে । বিদেশগামিদের উন্নত ট্রেনিং সেন্টার চাই। Like · Reply · Just now"
141,disgust,৭১ টিভি সংবাদ মিথ্যাচার।এদের খবর বিশ্বাস মানে মিথ্যের পতিত হাওয়া।এই মিথ্যাবাদী ভন্ড চেতনাধর চ্যালেন মুক্তিযুদ্ধকে অপমান করছে।ভারতের দালালি চ্যালেনকে ভরতে পাঠানো হক। -_-
